유기번호,발견장소,품종,색상,나이,체중,성별,중성화여부,특징
"444449202401746","동남구 제일고등학교","[개] 믹스견","미색","2024(년생)","6.7(Kg)","F","N","8개월 추정, 순함 "
"444449202401745","서북구 직산읍 군서리 302-3","[개] 믹스견","검+갈","2024(년생)","6.4(Kg)","F","N","6개월 추정, 겁 많음"
"444449202401744","서북구 성거읍 천안대로 1446 , 서희스타힐스 관리사무소","[개] 라브라도 리트리버","미색","2020(년생)","26(Kg)","F","U","칩 등록되어있지만 정보가 없음 , 순함"
"444449202401743","동남구 용곡동 544 , 천안천 변 근처","[개] 믹스견","흰색","2024(60일미만)(년생)","2.2(Kg)","M","N","2마리 함께 구조 , 1달 반 추정 , 순함"
"444449202401742","동남구 용곡동 544 , 천안천 변 근처","[개] 믹스견","흰색","2024(년생)","2.1(Kg)","F","N","2마리 함께 구조 , 1달 반 추정 , 순함 ,기침있음"
"444449202401741","서북구 오성9길 34 , 아람정육식당 앞","[개] 비숑 프리제","흰색","2016(년생)","3.6(Kg)","M","N","사람을 좋아함 , 사교성 높음"
"444449202401681","서북구 성거읍 석교리 162","[개] 믹스견","갈색","2019(년생)","9.6(Kg)","M","N","진드기 감염, 겁은 있으나 순함"
"444449202401680","서북구 성거읍 성거길 103","[개] 믹스견","미색","2019(년생)","11.3(Kg)","M","N","편측 잠복고환, 전지 주관절 탈모 피부염 있음, 순함"
"444449202401641","동남구 목천읍 학수소사길 85 ","[개] 말티즈","흰색","2017(년생)","4(Kg)","M","N","양측 결막염, 심장사상충 양성, 사람을 좋아함"
"444449202401639","서북구 성거읍 신월길 42 (동화유치원)","[개] 믹스견","검+흰","2018(년생)","19.5(Kg)","F","U","순함 "
"444449202401624","서북구 성거읍 천흥2길 42 충남예술고등학교","[개] 믹스견","검정","2021(년생)","19(Kg)","F","U","순함, 살집이 있음, 진드기 감염"
"444449202401606","동남구 터미널9길 31 옆 육공원","[개] 믹스견","갈색","2020(년생)","17.4(Kg)","F","N","사나움, 경계"
"444449202401605","동남구 안서동 83","[개] 믹스견","검+흰","2020(년생)","7.2(Kg)","M","N","순함, 연두색 하네스 착용"
"444449202401602","서북구 2공단 3로 102-12","[개] 믹스견","흰색","2018(년생)","18(Kg)","M","N","2마리 함께 구조, 심장 사상충 양성"
"444449202401587","동남구 목천읍 신계리 457-1","[개] 믹스견","흰+갈","2016(년생)","5.9(Kg)","F","U","빨간 목줄 착용, 겁있음"
"444449202401581","동남구 신촌4로 16 초원아파트 101동 앞  ","[개] 믹스견","흰색","2024(60일미만)(년생)","1.7(Kg)","M","N","순함, 1.5개월 추정 "
"444449202401577","동남구 광덕면 지장길 65-15 집 앞","[개] 믹스견","갈색","2022(년생)","20(Kg)","M","N","겁많음, 경계있음"
"444449202401576","동남구 목천읍 충절로 577","[개] 믹스견","흰색","2024(60일미만)(년생)","3(Kg)","M","N","공고번호 00392의 자견, 순함, 24년 7월 8일 출생"
"444449202401575","동남구 목천읍 충절로 577","[개] 믹스견","흰색","2024(60일미만)(년생)","2(Kg)","M","N","공고번호 00392의 자견, 순함, 24년 7월 8일 출생"
"444449202401572","동남구 안서동 183(각원사)","[개] 믹스견","흰+회색","2022(년생)","16.6(Kg)","M","N","파란목줄 착용, 순함"
"444449202401569","서북구 부성1길 16 부성초등학교","[개] 믹스견","흰색","2023(년생)","6.8(Kg)","F","U","순함, 1살 추정"
"444449202401568","동남구 북면 은지리 122-1","[개] 믹스견","흰색","2023(년생)","7.8(Kg)","F","U","왼쪽 앞발 올무에 걸림, 순함"
"444449202401566","서북구 입장면 신두리 52-1","[개] 믹스견","갈색","2022(년생)","3.7(Kg)","F","U","전신피부염 만성 심함, 탈모 있음, 순함"
"444449202401560","서북구 입장면 호계길 56-7","[개] 말티즈","흰색","2017(년생)","2.5(Kg)","F","N","유선종양 있음, 결막염 심함"
